certificado,producto,fec_nac,fec_ini,fec_fin,t_poliza,vigencia,moneda,beneficio,monto_prima,monto_gasto,dotal,sexo
A001,producto001,7/24/1977,7/3/2020,7/4/2025,3,5,PEN,44848.28172,852.016,85.2016,50,F
A002,producto001,10/7/1979,2/17/2022,3/18/2025,1,3,PEN,79884.24466,1631.68302,163.168302,50,F
A003,producto001,3/19/1964,2/21/2022,3/25/2025,1,3,PEN,77000.19118,1569.1467,156.91467,50,F
A004,producto001,9/14/1993,2/26/2022,4/5/2027,1,5,PEN,43123.6938,1427.92298,142.792298,50,F
A005,producto001,8/13/1981,2/7/2022,3/11/2025,1,3,PEN,147338.1859,3005.71392,300.571392,50,F
A006,producto001,6/21/1993,2/9/2022,3/11/2025,1,3,PEN,36824.21424,751.63528,75.163528,50,F
A007,producto001,9/25/1986,2/14/2022,2/18/2026,1,4,PEN,74436.71906,1716.42966,171.642966,50,F
A008,producto001,1/3/1993,2/19/2022,3/25/2025,1,3,PEN,147851.0086,3013.84116,301.384116,50,F
A009,producto001,11/5/1989,2/18/2022,4/5/2027,1,5,PEN,44163.39114,1414.76016,141.476016,50,F
A010,producto001,12/16/1971,2/25/2022,2/25/2026,1,4,PEN,32390.03966,748.32648,74.832648,50,F
A011,producto001,8/5/1994,3/9/2022,3/11/2024,1,2,PEN,28747.13358,370.82342,37.082342,50,F
A012,producto001,11/30/1995,2/17/2022,3/4/2026,1,4,PEN,61574.06926,1411.14116,141.114116,50,F
A013,producto001,5/15/1982,2/28/2022,4/4/2024,1,2,PEN,42435.2566,566.05296,56.605296,50,F
A014,producto001,9/3/1992,2/24/2022,3/4/2027,1,5,PEN,43395.74954,1192.4605,119.24605,50,F
A015,producto001,3/25/1994,2/7/2022,2/11/2028,1,6,PEN,66679.05134,2181.72966,218.172966,50,F
A016,producto001,12/31/1986,2/26/2022,4/4/2025,1,3,PEN,33110.1276,674.49888,67.449888,50,F
A017,producto001,10/16/1989,2/4/2022,3/4/2025,1,3,PEN,136487.0487,2796.1428,279.61428,50,F
A018,producto001,8/7/1989,2/28/2022,7/4/2025,1,3,PEN,32054.14476,739.23762,73.923762,50,F
A019,producto001,4/28/1985,2/14/2022,4/4/2026,1,4,PEN,163504.8276,3807.74636,380.774636,50,F
A020,producto001,1/20/1983,2/18/2022,3/18/2025,1,3,PEN,45168.222,925.33694,92.533694,50,F
A021,producto001,5/25/1989,2/9/2022,3/11/2025,1,3,PEN,41119.77078,839.31848,83.931848,50,F
A022,producto001,1/23/1976,2/9/2022,3/11/2025,1,3,PEN,93472.60736,1908.79502,190.879502,50,F
A023,producto001,8/7/1991,2/1/2022,3/4/2025,1,3,PEN,35808.85726,730.55202,73.055202,50,F
A024,producto001,2/21/1977,2/28/2022,4/5/2027,1,5,PEN,37769.50738,1249.23744,124.923744,50,F
A025,producto001,12/26/1960,2/24/2022,3/25/2025,1,3,PEN,36069.23914,736.47684,73.647684,50,F
A026,producto001,2/28/1968,2/4/2022,3/4/2025,1,3,PEN,14296.01162,292.8805,29.28805,50,F
A027,producto001,3/16/1959,2/22/2022,3/25/2025,1,3,PEN,85354.95254,1742.77598,174.277598,50,F
A028,producto001,8/29/1987,3/16/2022,4/19/2025,1,3,PEN,80853.45422,1651.02916,165.102916,50,F
A029,producto001,8/3/1981,2/24/2022,3/25/2025,1,3,PEN,81509.95116,1664.65728,166.465728,50,F
A030,producto001,5/19/1994,2/22/2022,2/25/2027,1,5,PEN,29445.02154,813.17896,81.317896,50,F
A031,producto001,11/5/1960,2/9/2022,3/18/2027,1,5,PEN,226267.18,7343.71616,734.371616,50,F
A032,producto001,12/11/1983,2/8/2022,2/11/2027,1,5,PEN,27987.51582,772.58412,77.258412,50,F
A033,producto001,3/9/1975,2/11/2022,3/11/2026,1,4,PEN,47348.31794,1116.18232,111.618232,50,F
A034,producto001,7/22/1982,2/25/2022,2/25/2023,1,0,PEN,87374.3442,534.92956,53.492956,50,F
A035,producto001,9/9/1987,2/10/2022,3/11/2025,1,3,PEN,101225.8496,2067.52436,206.752436,50,F
A036,producto001,1/26/1986,2/14/2022,3/18/2025,1,3,PEN,34324.41584,699.92494,69.992494,50,F
A037,producto001,10/3/1987,2/26/2022,4/4/2025,1,3,PEN,91370.42332,1863.8884,186.38884,50,F
A038,producto001,9/23/1967,2/22/2022,3/25/2025,1,3,PEN,37067.23526,756.46406,75.646406,50,F
A039,producto001,12/15/1991,3/18/2022,4/4/2028,1,6,PEN,45486.85944,1470.95806,147.095806,50,F
A040,producto001,8/18/1977,2/25/2022,3/25/2025,1,3,PEN,71740.6778,1469.71726,146.971726,50,F
A041,producto001,1/21/1961,2/9/2022,3/11/2025,1,3,PEN,34826.91916,710.875,71.0875,50,F
A042,producto001,7/31/1985,2/8/2022,3/11/2025,1,3,PEN,47517.27354,969.4267,96.94267,50,F
A043,producto001,11/11/1986,2/2/2022,2/4/2027,1,5,PEN,35469.64322,979.64262,97.964262,50,F
A044,producto001,3/2/1977,2/15/2022,3/18/2025,1,3,PEN,26539.69868,541.72294,54.172294,50,F
A045,producto001,10/4/1970,3/14/2022,5/4/2027,1,5,PEN,42715.58434,1361.97446,136.197446,50,F
A046,producto001,4/10/1976,2/1/2022,2/4/2026,1,4,PEN,60648.68062,1398.59874,139.859874,50,F
A047,producto001,9/7/1985,2/11/2022,3/11/2025,1,3,PEN,43272.8483,886.51024,88.651024,50,F
A048,producto001,12/26/1993,2/8/2022,3/11/2025,1,3,PEN,35476.82952,723.77932,72.377932,50,F
A049,producto001,10/1/1987,2/9/2022,3/11/2025,1,3,PEN,39559.98178,807.48162,80.748162,50,F
A050,producto001,9/29/1984,2/10/2022,3/11/2025,1,3,PEN,57257.30538,1169.28856,116.928856,50,F
A051,producto001,6/12/1984,2/11/2022,3/11/2027,1,5,PEN,51986.71786,1724.98084,172.498084,50,F
A052,producto001,8/15/1994,2/7/2022,3/11/2024,1,2,PEN,32078.17492,427.8175,42.78175,50,F
A053,producto001,10/11/1973,2/16/2022,3/18/2025,1,3,PEN,57590.6463,1175.62698,117.562698,50,F
A054,producto001,9/18/1980,2/21/2022,2/25/2026,1,4,PEN,26209.09786,604.12484,60.412484,50,F
A055,producto001,1/2/1967,2/16/2022,2/19/2024,1,2,PEN,51822.72546,668.6361,66.86361,50,F
A056,producto001,11/1/1994,2/9/2022,2/11/2027,1,5,PEN,41000.75738,1132.51952,113.251952,50,F
A057,producto001,2/15/1971,2/16/2022,2/18/2027,1,5,PEN,40169.51444,1109.70948,110.970948,50,F
A058,producto001,8/29/1994,2/23/2022,2/25/2027,1,5,PEN,42766.74666,1181.17956,118.117956,50,F
A059,producto001,3/23/1994,2/10/2022,3/11/2025,1,3,PEN,53658.9647,1095.81252,109.581252,50,F
A060,producto001,7/13/1989,2/17/2022,3/18/2026,1,4,PEN,58565.84272,1374.01022,137.401022,50,F
A061,producto001,1/2/1995,2/10/2022,3/11/2025,1,3,PEN,45369.2833,926.52604,92.652604,50,F
A062,producto001,10/23/1989,2/16/2022,3/18/2025,1,3,PEN,51641.84784,1054.09062,105.409062,50,F
A063,producto001,12/4/1990,2/22/2022,3/25/2025,1,3,PEN,148107.7301,3023.47804,302.347804,50,F
A064,producto001,4/23/1957,2/18/2022,2/18/2026,1,4,PEN,48677.58698,1124.6301,112.46301,50,F
A065,producto001,12/5/1988,2/28/2022,4/5/2027,1,5,PEN,58789.6727,1947.68376,194.768376,50,F
A066,producto001,3/23/1988,2/24/2022,3/25/2025,1,3,PEN,44087.05092,900.33482,90.033482,50,F
A067,producto001,4/4/1961,2/19/2022,2/25/2027,1,5,PEN,52157.71044,1437.24966,143.724966,50,F
A068,producto001,5/3/1974,2/8/2022,2/11/2027,1,5,PEN,66079.22794,1825.29952,182.529952,50,F
A069,producto001,7/9/1988,2/19/2022,3/25/2025,1,3,PEN,51914.47228,1057.86472,105.786472,50,F
A070,producto001,10/10/1980,2/22/2022,3/25/2026,1,4,PEN,76915.2274,1802.59288,180.259288,50,F
A071,producto001,6/7/1959,2/26/2022,4/4/2026,1,4,PEN,40665.0486,951.5902,95.15902,50,F
A072,producto001,7/15/1991,2/24/2022,3/25/2025,1,3,PEN,45586.96098,930.9619,93.09619,50,F
A073,producto001,2/16/1980,2/17/2022,2/18/2027,1,5,PEN,64955.91102,1795.06536,179.506536,50,F
A074,producto001,7/1/1998,2/23/2022,4/5/2027,1,5,PEN,38497.1125,1235.80578,123.580578,50,F
A075,producto001,7/12/1985,2/10/2022,3/11/2025,1,3,PEN,119623.8322,2443.2386,244.32386,50,F
A076,producto001,1/23/1979,2/26/2022,4/18/2026,1,4,PEN,24161.7882,562.06172,56.206172,50,F
A077,producto001,11/11/1980,2/23/2022,3/25/2025,1,3,PEN,75012.24346,1531.94338,153.194338,50,F
A078,producto001,1/22/1979,2/11/2022,2/11/2027,1,4,PEN,47216.28648,1312.83878,131.283878,50,F
A079,producto001,8/23/1994,2/15/2022,2/18/2026,1,4,PEN,39674.62136,915.04864,91.504864,50,F
A080,producto001,9/29/1960,2/26/2022,4/4/2026,1,4,PEN,54767.60916,1281.5913,128.15913,50,F
