plazo_meses,vtd
0, 0.0006469 
1, 0.0006686 
2, 0.0006903 
3, 0.0007119 
4, 0.0007315 
5, 0.0007510 
6, 0.0007706 
7, 0.0007905 
8, 0.0008104 
9, 0.0008303 
10, 0.0008516 
11, 0.0008730 
12, 0.0008943 
13, 0.0009175 
14, 0.0009408 
15, 0.0009640 
16, 0.0009891 
17, 0.0010142 
18, 0.0010394 
19, 0.0010662 
20, 0.0010930 
21, 0.0011198 
22, 0.0011480 
23, 0.0011762 
24, 0.0012044 
25, 0.0012338 
26, 0.0012631 
27, 0.0012924 
28, 0.0013225 
29, 0.0013526 
30, 0.0013826 
31, 0.0014133 
32, 0.0014439 
33, 0.0014744 
34, 0.0015053 
35, 0.0015362 
36, 0.0015670 
37, 0.0015979 
38, 0.0016288 
39, 0.0016597 
40, 0.0016905 
41, 0.0017213 
42, 0.0017520 
43, 0.0017825 
44, 0.0018130 
45, 0.0018435 
46, 0.0018736 
47, 0.0019036 
48, 0.0019337 
49, 0.0019633 
50, 0.0019929 
51, 0.0020225 
52, 0.0020515 
53, 0.0020805 
54, 0.0021095 
55, 0.0021379 
56, 0.0021663 
57, 0.0021946 
58, 0.0022224 
59, 0.0022501 
60, 0.0022778 
61, 0.0023048 
62, 0.0023318 
63, 0.0023588 
64, 0.0023851 
65, 0.0024114 
66, 0.0024376 
67, 0.0024632 
68, 0.0024888 
69, 0.0025143 
70, 0.0025391 
71, 0.0025639 
72, 0.0025887 
73, 0.0026128 
74, 0.0026369 
75, 0.0026610 
76, 0.0026843 
77, 0.0027077 
78, 0.0027310 
79, 0.0027537 
80, 0.0027763 
81, 0.0027989 
82, 0.0028209 
83, 0.0028428 
84, 0.0028647 
85, 0.0028859 
86, 0.0029072 
87, 0.0029284 
88, 0.0029489 
89, 0.0029695 
90, 0.0029900 
91, 0.0030099 
92, 0.0030298 
93, 0.0030497 
94, 0.0030689 
95, 0.0030882 
96, 0.0031074 
97, 0.0031261 
98, 0.0031447 
99, 0.0031633 
100, 0.0031813 
101, 0.0031993 
102, 0.0032174 
103, 0.0032348 
104, 0.0032522 
105, 0.0032696 
106, 0.0032865 
107, 0.0033034 
108, 0.0033202 
109, 0.0033366 
110, 0.0033529 
111, 0.0033692 
112, 0.0033850 
113, 0.0034008 
114, 0.0034165 
115, 0.0034318 
116, 0.0034471 
117, 0.0034624 
118, 0.0034771 
119, 0.0034919 
120, 0.0035067 
121, 0.0035210 
122, 0.0035353 
123, 0.0035496 
124, 0.0035635 
125, 0.0035773 
126, 0.0035911 
127, 0.0036046 
128, 0.0036180 
129, 0.0036314 
130, 0.0036443 
131, 0.0036573 
132, 0.0036703 
133, 0.0036829 
134, 0.0036954 
135, 0.0037080 
136, 0.0037202 
137, 0.0037323 
138, 0.0037445 
139, 0.0037563 
140, 0.0037681 
141, 0.0037799 
142, 0.0037913 
143, 0.0038027 
144, 0.0038141 
145, 0.0038252 
146, 0.0038363 
147, 0.0038473 
148, 0.0038581 
149, 0.0038688 
150, 0.0038795 
151, 0.0038899 
152, 0.0039003 
153, 0.0039107 
154, 0.0039208 
155, 0.0039309 
156, 0.0039410 
157, 0.0039507 
158, 0.0039605 
159, 0.0039703 
160, 0.0039798 
161, 0.0039893 
162, 0.0039987 
163, 0.0040079 
164, 0.0040171 
165, 0.0040263 
166, 0.0040353 
167, 0.0040442 
168, 0.0040531 
169, 0.0040618 
170, 0.0040705 
171, 0.0040791 
172, 0.0040875 
173, 0.0040959 
174, 0.0041044 
175, 0.0041125 
176, 0.0041207 
177, 0.0041289 
178, 0.0041368 
179, 0.0041447 
180, 0.0041527 
181, 0.0041604 
182, 0.0041681 
183, 0.0041758 
184, 0.0041833 
185, 0.0041908 
186, 0.0041982 
187, 0.0042055 
188, 0.0042128 
189, 0.0042201 
190, 0.0042271 
191, 0.0042342 
192, 0.0042413 
193, 0.0042482 
194, 0.0042550 
195, 0.0042619 
196, 0.0042686 
197, 0.0042753 
198, 0.0042820 
199, 0.0042885 
200, 0.0042950 
201, 0.0043015 
202, 0.0043078 
203, 0.0043141 
204, 0.0043205 
205, 0.0043266 
206, 0.0043328 
207, 0.0043389 
208, 0.0043449 
209, 0.0043509 
210, 0.0043569 
211, 0.0043627 
212, 0.0043686 
213, 0.0043744 
214, 0.0043801 
215, 0.0043858 
216, 0.0043914 
217, 0.0043970 
218, 0.0044025 
219, 0.0044080 
220, 0.0044134 
221, 0.0044188 
222, 0.0044242 
223, 0.0044295 
224, 0.0044347 
225, 0.0044399 
226, 0.0044451 
227, 0.0044502 
228, 0.0044553 
229, 0.0044603 
230, 0.0044653 
231, 0.0044702 
232, 0.0044751 
233, 0.0044800 
234, 0.0044848 
235, 0.0044896 
236, 0.0044943 
237, 0.0044990 
238, 0.0045037 
239, 0.0045083 
240, 0.0045129 
241, 0.0045174 
242, 0.0045219 
243, 0.0045264 
244, 0.0045308 
245, 0.0045352 
246, 0.0045396 
247, 0.0045439 
248, 0.0045482 
249, 0.0045525 
250, 0.0045567 
251, 0.0045609 
252, 0.0045650 
253, 0.0045691 
254, 0.0045732 
255, 0.0045773 
256, 0.0045813 
257, 0.0045853 
258, 0.0045893 
259, 0.0045932 
260, 0.0045971 
261, 0.0046010 
262, 0.0046048 
263, 0.0046086 
264, 0.0046124 
265, 0.0046161 
266, 0.0046198 
267, 0.0046235 
